"DAY","Set","            Team A                        ","Points","A SRV TTL","A SRV #","A SRV /","A SRV =","A PASS TTL","A PASS #","A PASS +","A PASS /","A PASS =","A ATT1 TTL","A ATT1 #","A ATT1 /","A ATT1=","A ATT2 TTL","A ATT2 #","A ATT2 /","A ATT2=","A BLOCK TTL","A BLOCK #","A BLOCK /","A BLOCK=","A SETTING","A SETTING =","Team B","Points","A SRV TTL","A SRV #","A SRV /","A SRV =","A PASS TTL","A PASS #","A PASS +","A PASS /","A PASS =","A ATT1 TTL","A ATT1 #","A ATT1 /","A ATT1=","A ATT2 TTL","A ATT2 #","A ATT2 /","A ATT2=","A BLOCK TTL","A BLOCK #","A BLOCK /","A BLOCK=","A SETTING","A SETTING ="
"1","1","Ethnikos Alexandroupolis","23","23","2","0","4","20","6","7","1","1","16","9","2","1","9","1","2","3","17","4","0","7","27","1","Paok","25","25","1","1","5","19","1","9","0","2","17","8","1","1","9","3","3","1","11","4","0","4","26","0"
"1","2","Ethnikos Alexandroupolis","25","25","5","1","4","18","3","3","4","1","13","7","0","1","11","7","2","1","10","0","0","5","24","0","Paok","22","22","1","4","4","21","4","6","1","5","15","8","0","2","8","5","0","0","13","2","0","8","23","0"
"1","3","Ethnikos Alexandroupolis","19","18","1","0","1","22","3","9","1","0","20","7","4","2","13","4","1","2","15","1","0","7","34","2","Paok","25","25","1","0","3","17","2","2","0","1","15","7","1","1","12","5","0","1","16","5","0","6","29","0"
"1","4","Ethnikos Alexandroupolis","17","18","1","1","3","21","4","5","2","0","19","7","0","5","12","4","3","1","8","1","0","5","32","0","Paok","25","24","0","2","3","15","4","3","1","1","13","7","0","0","10","6","1","0","13","3","0","4","22","1"
"1","1","Pamvochaikos","25","24","3","1","4","13","3","1","3","0","10","6","0","0","9","3","0","0","12","2","0","5","9","0","Iraklis Chalkidas","18","18","0","3","5","20","6","4","1","3","16","9","0","3","13","5","2","2","9","0","0","4","17","0"
"1","2","Pamvochaikos","19","19","2","0","5","24","7","4","1","4","16","5","0","3","14","9","1","0","10","2","1","2","25","2","Iraklis Chalkidas","25","25","4","1","1","14","3","5","0","2","12","5","1","0","13","5","1","0","19","1","0","9","15","0"
"1","3","Pamvochaikos","25","25","1","0","4","18","6","5","0","0","18","11","1","0","5","1","1","1","11","4","1","4","17","1","Iraklis Chalkidas","22","22","0","0","4","21","4","7","0","1","20","11","3","2","7","3","1","2","11","2","1","3","15","0"
"1","4","Pamvochaikos","25","24","4","0","6","18","7","4","2","0","15","9","1","1","4","3","1","0","11","3","1","5","17","0","Iraklis Chalkidas","20","21","0","2","3","18","3","3","0","4","14","8","1","3","8","3","2","0","6","2","0","3","11","0"
"1","1","Iraklis Petosfairishs","25","25","2","0","2","16","1","3","1","2","13","8","0","0","11","6","0","0","13","3","0","5","10","1","Orestiada","19","19","2","1","3","23","9","4","0","2","20","7","2","0","12","7","1","1","7","0","0","4","15","0"
"1","2","Iraklis Petosfairishs","25","24","1","6","2","10","3","1","0","0","9","4","0","1","12","9","0","0","10","5","0","3","6","0","Orestiada","11","12","0","0","2","22","9","3","6","1","15","8","3","1","5","0","2","1","5","0","0","4","15","1"
"1","3","Iraklis Petosfairishs","23","24","2","0","4","18","3","4","3","3","11","7","0","0","10","4","1","0","11","3","0","7","11","1","Orestiada","25","24","3","3","6","20","8","7","0","2","18","12","3","0","11","4","0","1","5","1","0","3","18","0"
"1","4","Iraklis Petosfairishs","25","24","4","0","3","11","4","3","0","1","10","7","1","2","4","2","0","0","7","2","0","1","9","0","Orestiada","15","16","1","0","5","21","11","0","0","4","17","6","2","4","4","2","0","1","4","1","0","2","13","0"
"1","1","Kyzikos Peramou","25","25","1","3","2","21","12","5","0","1","20","8","0","2","9","3","3","2","12","5","0","4","16","0","Panathinaikos","21","21","1","0","0","23","6","2","3","1","20","7","3","6","14","4","2","2","13","3","0","2","11","0"
"1","2","Kyzikos Peramou","23","23","1","0","4","24","5","3","2","2","18","8","3","1","17","9","0","3","9","0","0","1","7","0","Panathinaikos","25","25","2","2","1","19","8","1","0","1","16","7","0","1","15","5","0","2","16","3","0","6","14","1"
"1","3","Kyzikos Peramou","22","23","0","0","5","21","7","5","0","1","19","8","1","1","9","4","1","2","13","3","0","5","10","0","Panathinaikos","25","24","1","0","3","18","5","2","0","0","18","6","1","2","11","8","2","1","11","2","0","1","9","1"
"1","4","Kyzikos Peramou","23","23","1","2","6","22","7","4","1","1","20","8","2","5","14","6","0","0","7","2","0","4","12","1","Panathinaikos","25","25","1","1","3","17","4","3","2","1","14","8","1","2","5","2","1","1","15","2","0","4","8","0"
"1","1","Panachaiki","15","16","0","1","5","21","5","1","3","3","14","6","0","3","8","3","0","2","9","1","0","4","19","0","Olympiacos","25","24","3","3","3","11","3","3","1","0","10","7","0","1","12","5","1","1","5","0","0","3","14","0"
"1","2","Panachaiki","21","21","3","1","5","22","2","4","2","4","16","8","1","3","5","3","0","2","7","2","0","3","18","0","Olympiacos","25","25","4","2","3","16","2","3","1","3","11","8","1","1","6","2","1","0","8","1","0","6","17","1"
"1","3","Panachaiki","22","23","0","2","1","20","1","5","1","5","12","6","1","1","13","6","1","3","12","4","0","5","19","0","Olympiacos","25","24","5","1","4","22","5","3","2","0","20","12","2","1","6","1","2","0","12","2","0","6","25","1"
"1","1","Foinikas Syrou","25","24","7","3","3","18","3","6","3","2","14","6","2","2","11","6","2","0","8","0","0","3","13","0","Kifisia","22","23","2","3","5","21","3","5","3","7","10","5","0","0","11","6","0","0","13","4","0","6","9","1"
"1","2","Foinikas Syrou","22","23","0","2","4","20","6","3","1","1","18","9","1","3","6","4","2","0","8","2","0","4","15","0","Kifisia","25","24","1","1","4","19","5","4","2","0","17","10","1","2","8","3","1","0","9","3","0","3","10","1"
"1","3","Foinikas Syrou","25","24","3","0","4","12","5","3","1","0","11","8","0","0","5","3","2","0","8","3","0","2","10","1","Kifisia","16","17","0","1","5","20","5","6","0","3","17","7","1","2","6","2","2","0","8","2","1","4","14","0"
"1","4","Foinikas Syrou","17","18","1","1","1","18","3","5","2","2","13","4","2","2","15","3","2","2","8","0","0","5","12","1","Kifisia","25","24","2","2","6","17","4","5","1","1","15","8","0","3","9","5","0","0","16","4","0","4","12","0"
"1","5","Foinikas Syrou","15","14","2","0","3","13","2","4","0","0","13","6","1","1","9","2","2","1","8","1","0","2","9","0","Kifisia","13","14","0","0","1","11","2","2","0","2","9","2","1","3","7","3","0","0","11","3","0","4","4","0"
"2","1","Iraklis Petosfairishs","33","33","4","0","3","23","11","6","0","3","20","11","2","1","7","4","1","1","18","3","0","9","20","0","Foinikas Syrou","31","30","3","0","7","30","4","9","0","4","26","15","2","2","10","4","1","1","14","3","1","7","20","0"
"2","2","Iraklis Petosfairishs","25","24","3","3","3","20","6","5","2","2","15","6","0","1","10","7","0","0","16","5","0","4","15","1","Foinikas Syrou","22","23","2","2","3","21","3","3","3","3","15","7","1","1","16","8","4","0","6","0","0","1","13","0"
"2","3","Iraklis Petosfairishs","23","23","0","1","3","22","7","4","0","3","18","9","2","2","10","6","0","0","13","2","0","6","13","1","Foinikas Syrou","25","24","3","0","2","20","10","1","1","0","19","12","1","0","5","2","1","2","14","2","1","8","17","0"
"2","4","Iraklis Petosfairishs","25","24","2","0","2","21","5","2","1","2","18","8","2","1","9","4","1","1","18","4","0","5","14","0","Foinikas Syrou","23","23","2","1","2","22","11","4","0","2","20","10","2","1","15","3","2","3","11","3","1","4","20","0"
"2","1","Kifisia","25","25","1","1","2","23","11","4","0","2","19","10","0","0","10","7","0","1","18","7","0","2","16","1","Kyzikos Peramou","23","23","2","0","0","23","3","5","1","1","20","7","5","0","19","9","2","0","9","0","0","6","7","1"
"2","2","Kifisia","25","24","4","0","5","14","3","3","0","1","13","5","0","0","8","5","0","2","12","5","0","1","9","0","Kyzikos Peramou","17","18","1","0","4","19","5","5","0","4","15","8","2","1","9","1","3","1","8","0","0","4","8","0"
"2","3","Kifisia","22","23","0","1","4","20","4","5","0","1","18","11","2","1","7","2","1","1","7","1","0","6","11","0","Kyzikos Peramou","25","24","1","0","4","19","10","3","1","0","18","14","1","2","3","1","0","2","14","3","0","6","10","0"
"2","4","Kifisia","25","24","1","0","3","18","5","6","0","1","16","9","3","0","12","4","2","0","11","1","0","5","13","1","Kyzikos Peramou","23","24","1","0","6","21","9","4","0","1","20","11","0","2","8","2","1","1","18","5","0","8","14","0"
"2","1","Orestiada","17","17","3","2","3","22","6","4","3","0","18","8","3","0","16","2","1","0","12","0","1","5","13","0","Paok","25","25","0","3","3","14","2","3","2","3","9","4","0","0","30","13","0","0","11","4","0","2","9","1"
"2","2","Orestiada","22","23","2","2","6","21","6","5","2","1","16","9","1","0","12","6","0","2","9","0","0","3","15","1","Paok","25","24","1","2","3","17","5","1","2","2","13","8","0","1","13","6","0","0","10","1","0","4","11","1"
"2","3","Orestiada","21","19","0","2","3","22","9","1","2","1","18","7","1","3","11","7","0","2","8","1","1","4","17","1","Paok","25","25","1","2","3","16","6","4","2","0","13","8","1","0","11","4","0","1","13","1","0","6","12","1"
"2","1","Olympiacos","25","24","2","3","2","7","1","2","0","0","7","2","2","1","14","10","1","0","13","2","0","2","5","0","Pamvochaikos","11","12","0","0","5","22","5","1","3","2","16","3","2","2","6","2","0","2","10","3","0","4","17","0"
